Name,class,fold
a1_FV1_MP3.mp3,0,1
a1_FV2_MP3.mp3,0,1
a1_FV3_MP3.mp3,0,1
a1_MV1_MP3.mp3,0,1
a1_MV2_MP3.mp3,0,1
a1_MV3_MP3.mp3,0,1
a2_FV1_MP3.mp3,0,1
a2_FV2_MP3.mp3,0,1
a2_FV3_MP3.mp3,0,1
a2_MV1_MP3.mp3,0,1
a2_MV2_MP3.mp3,0,1
a2_MV3_MP3.mp3,0,1
a3_FV1_MP3.mp3,0,1
a3_FV2_MP3.mp3,0,1
a3_FV3_MP3.mp3,0,1
a3_MV1_MP3.mp3,0,1
a3_MV2_MP3.mp3,0,1
a3_MV3_MP3.mp3,0,1
a4_FV1_MP3.mp3,0,1
a4_FV2_MP3.mp3,0,1
a4_FV3_MP3.mp3,0,1
a4_MV1_MP3.mp3,0,1
a4_MV2_MP3.mp3,0,1
a4_MV3_MP3.mp3,0,1
ai1_FV1_MP3.mp3,0,1
ai1_FV2_MP3.mp3,0,1
ai1_FV3_MP3.mp3,0,1
ai1_MV1_MP3.mp3,0,1
ai1_MV2_MP3.mp3,0,1
ai1_MV3_MP3.mp3,0,1
ai2_FV1_MP3.mp3,0,1
ai2_FV2_MP3.mp3,0,1
ai2_FV3_MP3.mp3,0,1
ai2_MV1_MP3.mp3,0,1
ai2_MV2_MP3.mp3,0,1
ai2_MV3_MP3.mp3,0,1
ai3_FV1_MP3.mp3,0,1
ai3_FV2_MP3.mp3,0,1
ai3_FV3_MP3.mp3,0,1
ai3_MV1_MP3.mp3,0,1
ai3_MV2_MP3.mp3,0,1
ai3_MV3_MP3.mp3,0,1
ai4_FV1_MP3.mp3,0,1
ai4_FV2_MP3.mp3,0,1
ai4_FV3_MP3.mp3,0,1
ai4_MV1_MP3.mp3,0,1
ai4_MV2_MP3.mp3,0,1
ai4_MV3_MP3.mp3,0,1
an1_FV1_MP3.mp3,0,1
an1_FV2_MP3.mp3,0,1
an1_FV3_MP3.mp3,0,1
an1_MV1_MP3.mp3,0,1
an1_MV2_MP3.mp3,0,1
an1_MV3_MP3.mp3,0,1
an2_FV1_MP3.mp3,0,1
an2_FV2_MP3.mp3,0,1
an2_FV3_MP3.mp3,0,1
an2_MV1_MP3.mp3,0,1
an2_MV2_MP3.mp3,0,1
an2_MV3_MP3.mp3,0,1
an3_FV1_MP3.mp3,0,1
an3_FV2_MP3.mp3,0,1
an3_FV3_MP3.mp3,0,1
an3_MV1_MP3.mp3,0,1
an3_MV2_MP3.mp3,0,1
an3_MV3_MP3.mp3,0,1
an4_FV1_MP3.mp3,0,1
an4_FV2_MP3.mp3,0,1
an4_FV3_MP3.mp3,0,1
an4_MV1_MP3.mp3,0,1
an4_MV2_MP3.mp3,0,1
an4_MV3_MP3.mp3,0,1
ang1_FV1_MP3.mp3,0,1
ang1_FV2_MP3.mp3,0,1
ang1_FV3_MP3.mp3,0,1
ang1_MV1_MP3.mp3,0,1
ang1_MV2_MP3.mp3,0,1
ang1_MV3_MP3.mp3,0,1
ang2_FV1_MP3.mp3,0,1
ang2_FV2_MP3.mp3,0,1
ang2_FV3_MP3.mp3,0,1
ang2_MV1_MP3.mp3,0,1
ang2_MV2_MP3.mp3,0,1
ang2_MV3_MP3.mp3,0,1
ang3_FV1_MP3.mp3,0,1
ang3_FV2_MP3.mp3,0,1
ang3_FV3_MP3.mp3,0,1
ang3_MV1_MP3.mp3,0,1
ang3_MV2_MP3.mp3,0,1
ang3_MV3_MP3.mp3,0,1
ang4_FV1_MP3.mp3,0,1
ang4_FV2_MP3.mp3,0,1
ang4_FV3_MP3.mp3,0,1
ang4_MV1_MP3.mp3,0,1
ang4_MV2_MP3.mp3,0,1
ang4_MV3_MP3.mp3,0,1
ao1_FV1_MP3.mp3,0,1
ao1_FV2_MP3.mp3,0,1
ao1_FV3_MP3.mp3,0,1
ao1_MV1_MP3.mp3,0,1
ao1_MV2_MP3.mp3,0,1
ao1_MV3_MP3.mp3,0,1
ao2_FV1_MP3.mp3,0,1
